#!/usr/local/bin/rebench benchmarks.conf Mate-Standard
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard vm:RTruffleSOM-jit
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard RTruffleSOM-jit
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard vm:RTruffleSOM-jit
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard RTruffleSOM-jit
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard
#!/usr/local/bin/rebench benchmarks.conf
[2016-12-21T09:46:46]	667.462000	ms	total	FieldLoop	RTruffleSOM-interpreter	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:56]	1.341000	ms	total	Sum	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:56]	1.158000	ms	total	Sum	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:56]	1.312000	ms	total	Sum	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:56]	7.936000	ms	total	FieldLoop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:56]	8.180000	ms	total	FieldLoop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:56]	7.710000	ms	total	FieldLoop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	7.568000	ms	total	Sieve	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	7.788000	ms	total	Sieve	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	7.606000	ms	total	Sieve	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	2.812000	ms	total	IntegerLoop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	2.894000	ms	total	IntegerLoop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	2.940000	ms	total	IntegerLoop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	26.059000	ms	total	Fibonacci	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	33.580000	ms	total	Fibonacci	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	43.165000	ms	total	Fibonacci	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	2.635000	ms	total	WhileLoop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	2.218000	ms	total	WhileLoop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	2.269000	ms	total	WhileLoop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	3.583000	ms	total	Loop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	3.408000	ms	total	Loop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	3.419000	ms	total	Loop	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	0.045000	ms	total	Fannkuch	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	0.038000	ms	total	Fannkuch	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	0.053000	ms	total	Fannkuch	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	3.628000	ms	total	Dispatch	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	3.233000	ms	total	Dispatch	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	3.350000	ms	total	Dispatch	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	39.197000	ms	total	Queens	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	35.495000	ms	total	Queens	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:57]	39.356000	ms	total	Queens	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	25.954000	ms	total	Recurse	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	40.678000	ms	total	Recurse	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	32.845000	ms	total	Recurse	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	24.146000	ms	total	List	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	23.923000	ms	total	List	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	24.675000	ms	total	List	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	30.191000	ms	total	Permute	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	27.685000	ms	total	Permute	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	29.968000	ms	total	Permute	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	47.793000	ms	total	Towers	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	37.557000	ms	total	Towers	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:04:58]	40.258000	ms	total	Towers	RTruffleSOM-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:35]	5.941000	ms	total	Fibonacci	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:35]	6.143000	ms	total	Fibonacci	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:35]	6.284000	ms	total	Fibonacci	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:35]	7.962000	ms	total	Permute	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:35]	9.744000	ms	total	Permute	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:35]	8.631000	ms	total	Permute	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	4.376000	ms	total	IntegerLoop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	4.193000	ms	total	IntegerLoop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	4.051000	ms	total	IntegerLoop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	10.036000	ms	total	List	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	12.482000	ms	total	List	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	11.234000	ms	total	List	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	2.605000	ms	total	Sum	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	2.152000	ms	total	Sum	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	2.122000	ms	total	Sum	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	3.885000	ms	total	Dispatch	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	3.661000	ms	total	Dispatch	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:22:52]	3.677000	ms	total	Dispatch	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:00]	24.027000	ms	total	Towers	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:00]	36.585000	ms	total	Towers	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:00]	35.273000	ms	total	Towers	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:00]	5.132000	ms	total	WhileLoop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:00]	6.270000	ms	total	WhileLoop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
